1432-09-01L0	왕실-종사(宗社) 도량형(度量衡) 출판-서책(書冊) 역사-고사(故事) 
1432-09-01L0	예술-음악(音樂) 예술-무용(舞踊) 역사-고사(故事) 
1432-09-01L0	인사-임면(任免) 가족-가족(家族) 왕실-국왕(國王) 왕실-비빈(妃嬪) 
1432-09-04L0	사법-행형(行刑) 금융-화폐(貨幣) 인사-선발(選拔) 
1432-09-09L0	군사-군정(軍政) 사법-법제(法制) 재정-전세(田稅) 외교-야(野) 농업-전제(田制) 
1432-09-17L0	왕실-종사(宗社) 
1432-09-25L0	왕실-의식(儀式) 사법-재판(裁判) 사법-법제(法制) 금융-화폐(貨幣) 
1432-09-30L0	왕실-사급(賜給) 
1432-10-04L0	왕실-의식(儀式) 무역(貿易) 외교-명(明) 사법-법제(法制) 
1432-10-10L0	행정-지방행정(地方行政) 주생활-가옥(家屋) 
1432-10-12L0	인사-임면(任免) 인사-관리(管理) 교통-육운(陸運) 교통-마정(馬政) 농업-전제(田制) 
1432-10-24L0	예술-음악(音樂) 외교-명(明) 어문학(語文學) 
1432-10-24L0	사법-재판(裁判) 인사-임면(任免) 
1432-10-25L0	왕실-경연(經筵) 왕실-종친(宗親) 왕실-행행(行幸) 
1432-11-03L0	왕실-종사(宗社) 외교-명(明) 무역(貿易) 
1432-11-15L0	사법-재판(裁判) 사법-법제(法制) 사법-탄핵(彈劾) 인사-관리(管理) 
1432-11-18L0	외교-명(明) 사법-행형(行刑) 
1432-11-23L0	왕실-종친(宗親) 
1432-11-27L0	역사-편사(編史) 인사-임면(任免) 인사-관리(管理) 교육-특수교육(特殊敎育) 
1432-12-09L0	군사-병법(兵法) 
1432-12-09L0	외교-야(野) 외교-명(明) 군사-군정(軍政) 
1432-12-10L0	외교-야(野) 외교-명(明) 군사-군정(軍政) 
1432-12-13L0	왕실-의식(儀式) 사법-치안(治安) 사법-법제(法制) 외교-명(明) 무역(貿易) 
1432-12-13L0	사법-치안(治安) 외교-명(明) 군사-관방(關防) 인사-임면(任免) 사상-불교(佛敎) 
1433-01-11L0	사법-재판(裁判) 사법-탄핵(彈劾) 외교-야(野) 인사-임면(任免) 군사-군정(軍政) 행정-지방행정(地方行政) 
1433-01-13L0	구휼(救恤) 군사-군정(軍政) 군사-관방(關防) 군사-군기(軍器) 군사-군역(軍役) 재정-전세(田稅) 
1433-01-16L0	군사-관방(關防) 군사-군정(軍政) 군사-병참(兵站) 외교-명(明) 사법-재판(裁判) 사법-법제(法制) 신분-천인(賤人) 행정-중앙행정(中央行政) 
1433-02-05L0	왕실-사급(賜給) 왕실-비빈(妃嬪) 인사-관리(管理) 인물(人物) 
1433-02-15L0	외교-야(野) 외교-명(明) 군사-군정(軍政) 군사-병법(兵法) 군사-전쟁(戰爭) 정론-정론(政論) 
1433-02-21L0	군사-군기(軍器) 군사-군정(軍政) 군사-지방군(地方軍) 군사-휼병(恤兵) 군사-병법(兵法) 군사-전쟁(戰爭) 인사-임면(任免) 외교-야(野) 외교-명(明) 교통-수운(水運) 
1433-02-27L0	외교-야(野) 외교-명(明) 군사-군정(軍政) 군사-전쟁(戰爭) 군사-지방군(地方軍) 군사-군기(軍器) 
1433-02-28L0	외교-야(野) 군사-군정(軍政) 
1433-03-14L0	외교-명(明) 외교-야(野) 군사-군정(軍政) 군사-군기(軍器) 군사-전쟁(戰爭) 인사-임면(任免) 
1433-03-23L0	호구-이동(移動) 외교-야(野) 
1433-04-02L0	윤리(倫理) 사법-행형(行刑) 
1433-04-24L0	사법-행형(行刑) 사법-법제(法制) 사법-치안(治安) 
